Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,58.345,58.459,57.522,58.194,906000,0.0,0.0
2017-01-04,58.285,58.814,57.99,58.504,914000,0.0,0.0
2017-01-05,58.028,59.297,57.379,59.267,903200,0.0,0.0
2017-01-06,59.002,59.894,58.648,59.818,944500,0.0,0.0
2017-01-09,59.871,59.954,58.95,59.108,616600,0.0,0.0
2017-01-10,59.101,59.214,57.847,57.877,955200,0.0,0.0
2017-01-11,57.99,58.074,56.367,56.382,1535500,0.0,0.0
2017-01-12,56.367,56.404,55.309,55.747,1246500,0.0,0.0
2017-01-13,55.709,55.853,54.848,54.871,913700,0.0,0.0
2017-01-17,54.879,55.249,54.682,55.166,1167900,0.0,0.0
2017-01-18,55.226,55.574,54.75,55.264,911000,0.0,0.0
2017-01-19,54.954,55.249,54.614,55.211,761400,0.0,0.0
2017-01-20,55.173,55.574,54.584,55.453,1007500,0.0,0.0
2017-01-23,55.634,56.752,55.634,56.646,1190300,0.0,0.0
2017-01-24,56.518,56.971,56.419,56.752,762200,0.0,0.0
2017-01-25,56.842,57.129,55.309,55.717,1090600,0.0,0.0
2017-01-26,55.77,56.223,55.158,55.876,943600,0.0,0.0
2017-01-27,56.004,56.231,55.211,55.287,809600,0.0,0.0
2017-01-30,55.415,55.566,54.478,54.607,826700,0.0,0.0
2017-01-31,54.577,55.196,54.252,54.418,764200,0.0,0.0
2017-02-01,54.169,54.554,53.98,54.108,801000,0.0,0.0
2017-02-02,54.093,55.037,54.093,54.728,714900,0.0,0.0
2017-02-03,55.226,55.339,54.584,55.143,706300,0.0,0.0
2017-02-06,55.173,55.506,54.471,55.294,551500,0.0,0.0
2017-02-07,55.271,56.057,55.271,55.679,674700,0.0,0.0
2017-02-08,55.702,56.714,55.611,56.034,872200,0.0,0.0
2017-02-09,56.087,56.435,55.694,56.276,323600,0.0,0.0
2017-02-10,56.163,56.737,56.027,56.646,415900,0.0,0.0
2017-02-13,56.835,57.069,56.261,56.533,616300,0.0,0.0
2017-02-14,56.533,56.533,55.067,55.513,642600,0.0,0.0
2017-02-15,54.916,55.672,54.274,55.543,731600,0.0,0.0
2017-02-16,56.155,56.895,55.709,56.548,1168900,0.0,0.0
2017-02-17,56.654,58.391,56.578,58.345,1486800,0.0,0.0
2017-02-21,58.262,59.41,57.643,59.191,1287300,0.0,0.0
2017-02-22,59.388,60.611,58.761,58.851,1816900,0.0,0.0
2017-02-23,59.229,59.796,58.104,59.773,936500,0.0,0.0
2017-02-24,59.811,60.279,59.282,60.037,661200,0.0,0.0
2017-02-27,60.166,60.498,59.886,60.052,466600,0.0,0.0
2017-02-28,60.166,60.558,59.72,59.811,806800,0.0,0.0
2017-03-01,59.622,60.475,59.252,60.286,644600,0.0,0.0
2017-03-02,60.12,60.694,59.705,59.984,546100,0.0,0.0
2017-03-03,59.629,59.886,59.086,59.728,652600,0.0,0.0
2017-03-06,59.425,60.158,59.086,60.015,856300,0.0,0.0
2017-03-07,59.848,60.03,59.403,59.66,1026600,0.0,0.0
2017-03-08,59.531,59.969,59.025,59.38,1051900,0.0,0.0
2017-03-09,59.441,59.652,57.552,57.575,1169900,0.0,0.0
2017-03-10,57.575,58.255,56.321,56.45,1308000,0.0,0.0
2017-03-13,56.534,56.908,55.664,55.908,1706900,0.78,0.0
2017-03-14,55.946,56.595,55.61,56.579,1177700,0.0,0.0
2017-03-15,56.633,57.9,56.282,57.625,986700,0.0,0.0
2017-03-16,57.633,57.946,56.961,56.999,758200,0.0,0.0
2017-03-17,57.182,57.946,56.93,57.518,1020700,0.0,0.0
2017-03-20,57.587,57.77,57.129,57.526,585300,0.0,0.0
2017-03-21,57.678,57.991,57.175,57.48,829800,0.0,0.0
2017-03-22,57.785,57.816,56.892,57.602,809500,0.0,0.0
2017-03-23,57.648,58.159,57.259,57.625,1040200,0.0,0.0
2017-03-24,57.846,57.93,57.091,57.274,573200,0.0,0.0
2017-03-27,57.419,57.457,56.518,56.831,707400,0.0,0.0
2017-03-28,56.915,57.098,56.213,57.06,575200,0.0,0.0
2017-03-29,56.892,56.892,56.03,56.526,826500,0.0,0.0
2017-03-30,56.244,56.534,55.625,56.48,581000,0.0,0.0
