Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,67.508,68.444,66.601,68.01,1640300,0.0,0.0
2017-01-04,68.193,70.547,67.952,70.547,1769700,0.0,0.0
2017-01-05,70.2,71.328,70.2,70.827,1741400,0.0,0.0
2017-01-06,70.952,71.975,70.634,71.82,1581600,0.0,0.0
2017-01-09,75.631,78.023,75.303,76.972,3860200,0.0,0.0
2017-01-10,77.425,77.608,75.11,75.129,2196700,0.0,0.0
2017-01-11,74.598,75.64,74.483,75.467,1330000,0.0,0.0
2017-01-12,75.062,75.206,74.01,74.859,1660300,0.0,0.0
2017-01-13,74.734,75.322,74.512,74.994,1104700,0.0,0.0
2017-01-17,74.618,75.37,74.454,75.283,1204600,0.0,0.0
2017-01-18,75.515,76.557,75.38,75.843,1759800,0.0,0.0
2017-01-19,76.364,76.808,75.968,76.586,2011900,0.0,0.0
2017-01-20,76.663,77.02,75.978,76.287,1443000,0.0,0.0
2017-01-23,76.084,76.277,75.062,75.621,1192600,0.0,0.0
2017-01-24,75.621,76.306,75.476,76.238,953900,0.0,0.0
2017-01-25,76.48,76.73,75.216,75.515,1260300,0.0,0.0
2017-01-26,74.955,75.274,74.0,74.087,1292700,0.0,0.0
2017-01-27,74.84,75.226,74.145,74.705,1222900,0.0,0.0
2017-01-30,74.377,75.139,73.2,75.062,1287600,0.0,0.0
2017-01-31,74.965,74.965,73.943,74.55,790500,0.0,0.0
2017-02-01,74.849,75.1,73.74,74.328,1188600,0.0,0.0
2017-02-02,73.923,74.377,73.344,74.01,1062600,0.0,0.0
2017-02-03,74.56,76.489,74.415,75.824,2023500,0.0,0.0
2017-02-06,75.293,75.727,74.878,75.418,931400,0.0,0.0
2017-02-07,75.37,76.576,75.1,75.92,1376200,0.0,0.0
2017-02-08,75.775,76.972,75.312,76.287,1002500,0.01,0.0
2017-02-09,76.19,76.538,75.36,75.853,1103500,0.0,0.0
2017-02-10,75.708,76.21,75.496,75.708,947600,0.0,0.0
2017-02-13,76.055,76.132,75.467,75.467,767700,0.0,0.0
2017-02-14,75.399,76.509,75.225,76.422,858100,0.0,0.0
2017-02-15,76.026,76.248,75.592,76.181,647100,0.0,0.0
2017-02-16,76.123,76.248,74.782,74.936,822000,0.0,0.0
2017-02-17,74.868,75.225,74.174,75.206,1752200,0.0,0.0
2017-02-21,75.322,76.296,75.283,76.074,903300,0.0,0.0
2017-02-22,76.007,76.509,75.534,75.93,920900,0.0,0.0
2017-02-23,76.306,76.306,74.868,75.457,1291500,0.0,0.0
2017-02-24,75.235,76.19,74.656,76.19,1145800,0.0,0.0
2017-02-27,76.422,77.184,76.345,77.088,1463900,0.0,0.0
2017-02-28,76.798,77.589,76.364,76.885,1982900,0.0,0.0
2017-03-01,77.589,78.149,76.528,76.653,2212700,0.0,0.0
2017-03-02,76.431,76.48,75.322,75.515,1257700,0.0,0.0
2017-03-03,75.573,78.11,75.505,77.773,2220600,0.0,0.0
2017-03-06,77.531,77.676,76.393,77.387,1363800,0.0,0.0
2017-03-07,77.261,78.689,77.097,78.043,1773800,0.0,0.0
2017-03-08,78.052,78.4,77.406,77.444,1165000,0.0,0.0
2017-03-09,77.464,77.811,76.402,76.866,937100,0.0,0.0
2017-03-10,76.943,77.454,76.017,76.354,1306900,0.0,0.0
2017-03-13,76.267,76.972,76.103,76.866,734300,0.0,0.0
2017-03-14,76.827,77.184,76.026,76.287,597400,0.0,0.0
2017-03-15,76.538,76.538,75.399,75.959,1400700,0.0,0.0
2017-03-16,76.065,76.904,75.775,76.895,1018900,0.0,0.0
