Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,70.059,70.395,68.968,69.97,20550700,0.0,0.0
2017-01-04,70.14,70.317,69.688,70.099,15266600,0.48,0.0
2017-01-05,70.019,70.261,68.768,69.454,14300800,0.0,0.0
2017-01-06,69.68,69.865,69.317,69.462,12893300,0.0,0.0
2017-01-09,69.148,69.986,68.978,69.511,12806600,0.0,0.0
2017-01-10,69.422,70.091,69.14,69.712,13989000,0.0,0.0
2017-01-11,69.712,70.236,69.293,70.236,14713100,0.0,0.0
2017-01-12,69.978,70.39,69.382,69.559,21337400,0.0,0.0
2017-01-13,70.261,71.116,69.446,69.93,28296000,0.0,0.0
2017-01-17,68.502,68.736,67.172,67.389,30024600,0.0,0.0
2017-01-18,67.454,67.938,66.97,67.704,21270100,0.0,0.0
2017-01-19,67.801,68.293,67.042,67.188,16555600,0.0,0.0
2017-01-20,67.292,67.615,67.18,67.486,18436800,0.0,0.0
2017-01-23,67.188,67.752,67.115,67.518,12179200,0.0,0.0
2017-01-24,67.688,68.559,67.397,68.333,15175300,0.0,0.0
2017-01-25,69.236,69.502,68.696,69.39,17551000,0.0,0.0
2017-01-26,69.325,70.132,69.325,69.97,15962800,0.0,0.0
2017-01-27,69.898,70.156,69.583,70.115,12535400,0.0,0.0
2017-01-30,69.519,69.769,68.817,69.39,13661900,0.0,0.0
2017-01-31,69.043,69.486,67.825,68.26,15655100,0.0,0.0
2017-02-01,68.994,69.446,68.301,68.518,15430900,0.0,0.0
2017-02-02,68.026,68.486,67.881,68.228,11081400,0.0,0.0
2017-02-03,69.519,70.422,69.261,70.317,17885200,0.0,0.0
2017-02-06,70.003,70.535,69.857,69.986,11828400,0.0,0.0
2017-02-07,70.285,70.495,69.753,69.946,9392800,0.0,0.0
2017-02-08,69.511,69.615,68.857,69.333,13970900,0.0,0.0
2017-02-09,69.333,70.438,69.333,70.333,13749100,0.0,0.0
2017-02-10,70.559,70.559,70.083,70.172,10992500,0.0,0.0
2017-02-13,70.527,71.575,70.519,71.099,18739100,0.0,0.0
2017-02-14,71.22,72.35,71.067,72.237,17932100,0.0,0.0
2017-02-15,72.656,73.293,72.067,73.068,17381800,0.0,0.0
2017-02-16,72.914,73.431,72.406,73.019,17672700,0.0,0.0
2017-02-17,72.446,72.971,72.342,72.777,15776600,0.0,0.0
2017-02-21,73.003,73.519,72.963,73.406,14068300,0.0,0.0
2017-02-22,73.011,73.64,72.93,73.447,11839000,0.0,0.0
2017-02-23,73.543,73.672,73.011,73.503,11067000,0.0,0.0
2017-02-24,72.737,73.027,72.374,72.858,15062300,0.0,0.0
2017-02-27,72.85,73.18,72.608,72.939,12361000,0.0,0.0
2017-02-28,72.471,73.253,72.261,73.092,15183500,0.0,0.0
2017-03-01,74.842,75.802,74.697,75.495,24451400,0.0,0.0
2017-03-02,75.713,75.753,74.229,74.318,16862500,0.0,0.0
2017-03-03,74.318,75.1,74.318,74.85,12817500,0.0,0.0
2017-03-06,74.406,74.463,73.479,74.14,15059200,0.0,0.0
2017-03-07,73.914,74.277,73.568,73.729,11156800,0.0,0.0
2017-03-08,74.753,74.89,73.479,73.568,17378400,0.0,0.0
2017-03-09,73.882,74.318,73.519,73.858,13726200,0.0,0.0
2017-03-10,74.164,74.205,73.019,73.624,13729900,0.0,0.0
2017-03-13,73.648,74.027,73.342,73.689,10004300,0.0,0.0
2017-03-14,73.414,73.923,73.213,73.81,10237700,0.0,0.0
2017-03-15,74.043,74.648,73.503,73.987,16601400,0.0,0.0
2017-03-16,74.229,74.858,73.858,73.914,14492000,0.0,0.0
2017-03-17,74.068,74.237,73.116,73.14,21734700,0.0,0.0
2017-03-20,72.809,73.535,72.422,72.616,14623600,0.0,0.0
2017-03-21,72.882,73.108,70.22,70.487,33089200,0.0,0.0
2017-03-22,70.083,71.035,69.373,70.599,21741000,0.0,0.0
2017-03-23,70.341,71.382,70.245,70.487,16090100,0.0,0.0
2017-03-24,70.809,71.051,69.986,70.406,16093200,0.0,0.0
2017-03-27,68.986,70.495,68.744,70.366,16689300,0.0,0.0
2017-03-28,70.188,71.801,70.156,71.462,16264400,0.0,0.0
2017-03-29,71.462,71.64,71.043,71.196,10207600,0.0,0.0
2017-03-30,71.14,72.156,71.075,71.809,11631000,0.0,0.0
2017-03-31,71.551,71.575,70.777,70.849,16987600,0.0,0.0
2017-04-03,70.97,71.116,69.849,70.591,19831800,0.0,0.0
2017-04-04,70.486,71.119,70.348,70.827,14280800,0.5,0.0
2017-04-05,71.727,71.824,69.869,69.918,17635500,0.0,0.0
2017-04-06,69.748,70.502,69.156,70.153,14379600,0.0,0.0
2017-04-07,69.707,70.421,69.529,69.91,13097100,0.0,0.0
2017-04-10,69.829,70.324,69.277,69.667,15081600,0.0,0.0
